frame,motion_size,prior_size,total_size,size_gt,psnr,psnr_gt
1,0.0046367645263671875,0.09067249298095703,0.09530925750732422,7.6,35.24558639526367,35.54619598388672
2,0.004660606384277344,0.09112262725830078,0.09578323364257812,7.6,35.495208740234375,35.53773498535156
3,0.005009651184082031,0.09171867370605469,0.09672832489013672,7.6,35.73940658569336,35.60224914550781
4,0.005095481872558594,0.09209346771240234,0.09718894958496094,7.6,35.536014556884766,35.55396270751953
5,0.005459785461425781,0.09258842468261719,0.09804821014404297,7.6,35.44582748413086,35.6468620300293
6,0.005690574645996094,0.09322547912597656,0.09891605377197266,7.6,35.65199279785156,35.611839294433594
7,0.005944252014160156,0.09330940246582031,0.09925365447998047,7.6,35.60155487060547,35.65818405151367
8,0.006016731262207031,0.09351348876953125,0.09953022003173828,7.6,35.6636962890625,35.54009246826172
9,0.0062046051025390625,0.09403038024902344,0.1002349853515625,7.6,34.94780349731445,35.10039520263672
10,0.006270408630371094,0.09425544738769531,0.1005258560180664,7.6,35.53543472290039,35.6917610168457
11,0.006588935852050781,0.09453105926513672,0.1011199951171875,7.6,35.59734344482422,35.41179656982422
12,0.006678581237792969,0.0948801040649414,0.10155868530273438,7.6,35.521244049072266,35.56806182861328
13,0.00690460205078125,0.09499931335449219,0.10190391540527344,7.6,35.7036247253418,35.549781799316406
14,0.006993293762207031,0.09526920318603516,0.10226249694824219,7.6,35.581581115722656,35.59199905395508
15,0.007256507873535156,0.09552860260009766,0.10278511047363281,7.6,35.46549987792969,35.49090576171875
16,0.007221221923828125,0.0954904556274414,0.10271167755126953,7.6,34.90061569213867,34.9993896484375
17,0.007332801818847656,0.09575176239013672,0.10308456420898438,7.6,35.55354309082031,35.54868698120117
18,0.007315635681152344,0.09574127197265625,0.1030569076538086,7.6,35.257652282714844,35.627376556396484
19,0.007422447204589844,0.09603118896484375,0.1034536361694336,7.6,35.46495819091797,35.55868911743164
21,0.0033445358276367188,0.0896139144897461,0.09295845031738281,7.6,34.781211853027344,34.94281005859375
22,0.003742218017578125,0.09123611450195312,0.09497833251953125,7.6,35.335205078125,35.45282745361328
23,0.004441261291503906,0.091888427734375,0.0963296890258789,7.6,35.299400329589844,35.306087493896484
24,0.0043487548828125,0.092315673828125,0.0966644287109375,7.6,35.128475189208984,35.13737869262695
25,0.004584312438964844,0.09257125854492188,0.09715557098388672,7.6,35.31235885620117,35.500755310058594
26,0.00469207763671875,0.09295654296875,0.09764862060546875,7.6,35.52064514160156,35.48027038574219
27,0.005031585693359375,0.09313011169433594,0.09816169738769531,7.6,34.67488098144531,34.54157638549805
28,0.0051441192626953125,0.09371280670166016,0.09885692596435547,7.6,35.42437744140625,35.25322723388672
29,0.00537109375,0.09414482116699219,0.09951591491699219,7.6,35.35759735107422,35.38572692871094
30,0.005738258361816406,0.09467124938964844,0.10040950775146484,7.6,35.42341232299805,35.21318817138672
31,0.0061588287353515625,0.0950927734375,0.10125160217285156,7.6,35.48577880859375,35.375038146972656
32,0.006564140319824219,0.09548377990722656,0.10204792022705078,7.6,35.39202117919922,34.970550537109375
33,0.006861686706542969,0.09587574005126953,0.1027374267578125,7.6,35.248836517333984,35.295013427734375
34,0.007198333740234375,0.09654426574707031,0.10374259948730469,7.6,35.3681526184082,35.28059768676758
35,0.0075283050537109375,0.09674739837646484,0.10427570343017578,7.6,35.14692687988281,35.1163444519043
36,0.0077495574951171875,0.09704303741455078,0.10479259490966797,7.6,35.18999481201172,35.333412170410156
37,0.008179664611816406,0.09772491455078125,0.10590457916259766,7.6,35.14666748046875,35.3686637878418
38,0.008612632751464844,0.0983572006225586,0.10696983337402344,7.6,34.700138092041016,34.883480072021484
39,0.008958816528320312,0.0986175537109375,0.10757637023925781,7.6,35.10148620605469,35.192726135253906
41,0.0036439895629882812,0.09084033966064453,0.09448432922363281,7.6,35.56487274169922,35.4228630065918
42,0.0040130615234375,0.0916585922241211,0.0956716537475586,7.6,35.025482177734375,35.217105865478516
43,0.004157066345214844,0.09189414978027344,0.09605121612548828,7.6,34.81919479370117,35.32500457763672
